Question,Answer
How do I clean the tools used for applying the Mystic paint?,The tools used for applying the Mystic paint can be cleaned with water.
What are the benefits of using the Mystic paint?,The Mystic paint can mask a lot of imperfections on the wall  such as it not being completely straight/even/damaged. It also has a great effect  especially when used with LED installations.
What are the key features of the Mystic paint from Primacol?,The Mystic paint from Primacol has reflective microspheres that make the paint shiny and frosty. It is also available in different colors  such as universe and navy blue.
Are the estimated delivery times for the Primacol Decorative Mystic Paint Kit guaranteed?,The estimated delivery times provided for the Primacol Decorative Mystic Paint Kit are subject to change due to unforeseen events beyond our control.
What are the hazardous ingredients in the Mystic paint product from Primacol?,The Mystic paint product from Primacol contains the following hazardous ingredients: C(M)IT/MIT (3:1)  reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1)  and 1 2-benzisothiazol-3(2H)-one. These ingredients may produce an allergic reaction.
Where can I find the PDF instructions for using the Mystic paint?,"You can find the PDF instructions for the Mystic paint in the ""More Info"" section below."
What is required to use this website?,Agreement to the Terms of Service and Privacy Policy is required.
What is the address of the manufacturer of the Mystic paint product?,The address of the manufacturer of the Mystic paint product is Supraslska 25  16-010 Wasilkow  Poland.
What are the hazardous ingredients in the Decobase product from Primacol?,The Decobase product from Primacol contains the following hazardous ingredients: C(M)IT/MIT (3:1)  reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1)  and 1 2-benzisothiazol-3(2H)-one. These ingredients may produce an allergic reaction.
What is included in the Primacol Decorative Mystic Paint Kit?,The kit includes Decobase paint and Mystic paint  and is available in various colors.
What information does the website provide about the Mystic paint product from Primacol?,The website provides detailed information about the Mystic paint  including its application instructions  tools required  coverage  drying time  and safety information.
What happens if my order value exceeds £135?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations states that import tax and customs duties applies at the UK border. This means that when placing an order  you will only pay the net value of the order (0% VAT)  we will not charge you tax and duty. The carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
How many layers of the Mystic paint are required?,3 layers of the Mystic paint are required.
How durable is the Mystic paint?,The Mystic paint is hard to ruin  even if you try to.
What is the main thing to keep in mind when using Mystic paint?,The main thing is not to let the paint dry on the wall before deciding in which direction to apply the decor.
How many coats of Mystic paint should I apply?,After applying the first coat of Mystic  you should apply a second coat and leave the wall for about 24 hours until completely dry.
What is the VOC limit and content of the Mystic paint product from Primacol?,The Mystic paint product has a VOC limit of 200 g/l and the product contains less than 200 g/l of VOCs.
How does the Primacol Decorative Mystic Paint work?,Decorative paint for indoor use. Thousands of shiny particles contained in the paint  sparkling and shimmering in the light give surfaces a spectacular effect!
How is the Primacol Decorative Mystic Paint Kit sold?,The product is sold in a ready-to-use kit. The kit includes Decobase paint and Mystic paint.
What is the Royal Silk product?,Royal Silk is a decorative paint or coating product.
Are the estimated delivery times guaranteed?,The estimated delivery times provided are subject to change due to unforeseen events beyond our control.
What are the steps for applying the Royal Silk product?,1. Paint the surface with Decobase paint to create a base coat. 2. After the Decobase layer has dried  gently sand any irregularities and dust off the wall. 3. For the specified colors  pour the appropriate amount of colourant into the Royal Silk R0 base and mix thoroughly. 4. Apply the Royal Silk paint using a Venetian trowel  starting from the top corner and moving diagonally. The thickness of the applied layer should not exceed 1 mm. 5. After a short time  smooth the previously painted area with the edge of a clean  dry Venetian trowel  moving it in different directions. 6. If necessary  apply a second coat of Royal Silk after the first coat has dried (approximately 4 hours). 7. Leave the painted wall for about 24 hours until completely dry.
What safety precautions should be taken when using the Decobase product?,The Decobase product has a warning that hazardous respirable droplets may be formed when sprayed  and the user should not breathe the spray or mist.
How can I clean the tools used for the Royal Silk product?,The tools can be cleaned with water and detergent.
What tools are recommended for use with the Royal Silk product?,The recommended tools for use with the Royal Silk product include: - Stainless Steel Trowel - €14.90 (Sold out) - Paint Roller Set - €14.90 (Sold out)
What is the drying time for the Royal Silk product?,The drying time for the Royal Silk product is 24h.
What precautions should be taken when using the Royal Silk Kit?,The Royal Silk Kit should be kept out of reach of children.
Where can I view the Royal Silk color card?,You can view the Royal Silk color card at the following links: Royal Silk Colour Card Royal Silk Colour Card
How should the Royal Silk Kit be disposed of?,The Royal Silk Kit should not be disposed of into the sewage system  and the contents/container should be disposed of in a licensed waste disposal facility.
Where can I find the Technical Data Sheet (TDS) for the Royal Silk product?,The Technical Data Sheet (TDS) for the Royal Silk product is available at TDS Royal Silk.
How long does it take to receive my order outside of Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
How can I ensure accurate color and texture perception of the Royal Silk Kit?,To ensure an accurate perception of color and texture  we advise ordering a color chart in advance  as the colors displayed on your screen can be influenced by individual display settings.
How should the Decobase product be disposed of?,The Decobase product should not be disposed of into the sewage system  and the contents/container should be disposed of in a licensed waste disposal facility.
What tools are recommended for applying the Royal Silk product?,The recommended tools for applying Royal Silk are a paint roller buy here and a Venetian trowel buy here.
What is the address of the manufacturer Unicell International sp. z o.o.?,The address of Unicell International sp. z o.o. is Supraslska 25  16-010 Wasilkow  Poland.
How much does the Royal Silk color card cost?,The Royal Silk color card costs €2.99.
Where can I find the Technical Data Sheet (TDS) for the Decobase product?,The Technical Data Sheet (TDS) for the Decobase product is available at TDS Decobase.
What instructional resources are available for the Royal Silk product?,An instructional video is available for the Royal Silk product.
What is the email address of the responsible person at Unicell International sp. z o.o.?,The email address of the responsible person at Unicell International sp. z o.o. is shop@primacol.com.
How is the Royal Silk product packaged and what does the kit include?,The Royal Silk product is sold in a ready-to-use kit that includes Decobase paint and Royal Silk paint.
How long does it take to receive my order within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
What is the phone number of the manufacturer Unicell International sp. z o.o.?,The phone number of Unicell International sp. z o.o. is +48 667 950 839.
What is the coverage area of the Royal Silk product?,The coverage area of the Royal Silk product is 7-9 m²/set.
How many color options are available for the Royal Silk Kit?,The Royal Silk Kit is available in 10 different color options: Silver Base R0  Brown R0  Caramel R0  Pluton R7  Saturn R6  Black R0  Navy Blue R0  Bottle Green R0  and Claret R0.
How many layers of the Royal Silk product are required?,The number of layers required for the Royal Silk product is 2.
What are the key features of the Royal Silk decorative paint?,Royal Silk is a high-end wall coating that delivers a soft  velvety  satin-like finish reminiscent of silk fabric. It offers a spectrum of shades from delicate light hues to rich darker tones  and gives the walls a subtly pearly  slightly reflective  and smooth appearance.
What is the coverage of the Royal Silk kit?,One set of the Royal Silk kit is sufficient to cover approximately 7-9m² of a wall's surface.
What is the price per liter of the Royal Silk Kit?,The price per liter of the Royal Silk Kit is €30 00.
How should the surface be prepared before applying Royal Silk?,The surface should be clean  degreased  completely smooth  uncracked and stable. Highly absorbent surfaces or those that are not equally absorbent should first be primed with a suitable primer  such as the PRIMACOL® DECORATIVE primer.
What are the product features of the Royal Silk Kit?,The Royal Silk Kit offers a soft  velvety  satin-like finish and a range of color options  including Silver Base R0  Brown R0  Caramel R0  Pluton R7  Saturn R6  Black R0  Navy Blue R0  Bottle Green R0  and Claret R0.
What is the price of the Royal Silk Kit?,The Royal Silk Kit is priced at €59 99.
What should customers do if the colors look different than expected?,If the colors look different  the customer advises to trust the instructions  especially when mixing the pigment for the top coat  and the final result will not disappoint.
Where can I find the instructions for using the Royal Silk product?,The instructions for using the Royal Silk product are available at Instruction.
Where can I find the Safety Data Sheet (SDS) for the Royal Silk product?,The Safety Data Sheet (SDS) for the Royal Silk product is available at SDS Royal SIlk.
What is the coverage area of the Royal Silk Kit?,The Royal Silk Kit covers an area of 8m² per set.
How long does it take to receive my order in the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
What is the VOC limit for the Royal Silk Kit?,The Royal Silk Kit has a VOC limit of 200 g/l and the product contains less than 200 g/l.
How authentic are the Royal Silk product samples?,The Royal Silk product samples are handmade  so you can be sure that the samples you receive are as authentic and true to the final result as possible.
How long does it take for my order to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
How many reviews does the Royal Silk Kit have?,The Royal Silk Kit has 11 reviews.
What precautions should be taken when storing the Decobase product?,The Decobase product should be kept out of reach of children.
What are the hazardous ingredients in the Decobase product?,The Decobase product contains reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1)  and 1 2-benzisothiazol-3(2H)-one  which may produce an allergic reaction.
What is the VOC limit for the Decobase product?,The Decobase product has a VOC limit of 30 g/l and the product contains less than 30 g/l.
What additional contents are included in the Royal Silk kit for certain color options?,For the colors Caramel  Brown  Claret  Navy Blue  Bottle Green  and Black  the Royal Silk kit also includes colourant.
How can I order a pattern book for the Royal Silk product?,If you are still having doubts about the Royal Silk product  you can order a pattern book to see the authentic samples and get a better idea of the result you can achieve.
"What is the manufacturer of the ""Royal Silk"" product?","The manufacturer of the ""Royal Silk"" product is Unicell International sp. z o.o."
Where can I find the Safety Data Sheet (SDS) for the Decobase product?,The Safety Data Sheet (SDS) for the Decobase product is available at SDS Decobase.
How long does it take to receive a large order that requires pallet shipping?,For large orders requiring pallet shipping  the standard delivery time may extend by approximately 2 days.
What are the hazardous ingredients in the Royal Silk Kit?,The Royal Silk Kit contains C(M)IT/MIT (3:1)  reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1)  and 1 2-benzisothiazol-3(2H)-one  which may produce an allergic reaction.
What happens if my order value exceeds £135?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations state that import tax and customs duties apply at the UK border. This means that when placing an order  you will only pay the net value of the order (0% VAT)  and the carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
What happens if my order value is below £135?,If the order value is below £135  then all fees are paid right away when placing the order.
What shipping carriers do you use?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
What can I expect from the Metaliq product samples?,Our samples are handmade so you can be sure that the samples you get in hand are as authentic and true to the result you can achieve as possible.
What shipping carriers do you use?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
How long does it take to receive a large order that requires pallet shipping?,For large orders requiring pallet shipping  the standard delivery time may extend by approximately 2 days.
What are the VOC limits and contents of the Metaliq products?,The Metaliq Paste has a VOC limit of 200 g/l and contains less than 200 g/l of VOCs. The Metaliq Top has a VOC limit of 200 g/l and contains a maximum of 10 g/l of VOCs. The Decobase has a VOC limit of 30 g/l and contains less than 30 g/l of VOCs.
How long does it take to receive my order within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
How long does it take to receive my order outside of Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
How many times has the customer used Primacol products before?,The customer has used Primacol many times before  and this was their first time using Metaliq.
How many layers are required for the Metaliq product?,The number of layers required for the Metaliq product is 3.
What tools are required for the Metaliq product?,The tools required for the Metaliq product are: paint  roller buy here  venetian trowel buy here  spatula buy here  and fine sandpaper.
What is required to use this website?,Agreement to the Terms of Service and Privacy Policy is required.
What information is provided on the Metaliq product website?,The website provides detailed information about the Metaliq product  including the tools required  coverage  number of layers  cleaning instructions  and drying time. It also includes links to download the Safety Data Sheets (SDS) and Technical Data Sheets (TDS) for the Metaliq Paste  Metaliq Top  and Decobase products.
What additional items are included in the Metaliq kit for the Patine effect?,For the Patine effect  the Metaliq kit also includes a bag of Metaliq Patine.
How satisfied is the customer with the outcome of using Metaliq?,The customer is very happy with the outcome of using Metaliq.
What is the Metaliq decorative paint kit?,Metaliq creates an aged sheet metal effect in several color variations  imitating metals such as brass  copper  silver  and more.
What resources did the customer find helpful for applying the Metaliq paint?,The video and descriptions really help with the application of the paint.
Would the customer recommend the Primacol brand?,Yes  the customer would recommend Primacol anytime.
Did the customer have any initial concerns about the application process?,The customer initially thought that a bit more detailed information would have helped  but in the end it worked out fine and they just had to trust the process.
How long does it take for my order to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
How do I apply the Metaliq Patine effect?,For the Metaliq Patine effect  after the Metaliq Paste has dried  apply a small amount of Metaliq Patine in places using a Venetian trowel. Then  after about 12 hours  sand the surface with fine sandpaper  dust off  and polish the wall with a clean spatula.
What are the potential hazards of the Metaliq products?,The Metaliq Paste  Metaliq Top  and Decobase products contain C(M)IT/MIT (3:1)  reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1)  and 1 2-benzisothiazol-3(2H)-one  which may produce an allergic reaction. Additionally  the Metaliq Top and Decobase products have a warning that hazardous respirable droplets may be formed when sprayed  and users should not breathe the spray or mist.
What surface preparation is required before applying the Metaliq kit?,The substrate should be clean  degreased  completely smooth  stable and uncracked. Highly absorbent or unevenly absorbent surfaces should first be primed with a suitable primer  such as the PRIMACOL® DECORATIVE primer.
What is the Metaliq product?,The Metaliq product is a decorative metallic paint system offered by Primacol.
What are the key features of the Metaliq paint kit?,"Metaliq is an innovative 3-step solution perfect for modern  industrial  or loft-style interiors  or simply for those seeking to add a unique character to their spaces. It is exceptionally suited for creating a feature wall in living rooms  enhancing offices and bars  or adding ""wow"" factor to any other spaces."
How much area can one set of the Metaliq kit cover?,One set of the Metaliq kit is sufficient to cover approximately 10 m² of a wall's surface.
What color did the customer order for the Metaliq product?,The customer ordered the copper color  and it is a perfect match to their living room.
What are the steps for applying the Metaliq kit?,The application process has three steps: 1. Paint the surface with Decobase paint to create a base coat. 2. Apply Metaliq Paste to the wall in horizontal and vertical movements to form a pattern. After drying  sand and polish the surface. 3. Apply a thin layer of Metaliq Top over the entire surface and let it dry completely.
Who is the manufacturer of the Metaliq products?,The Metaliq Paste  Metaliq Top  and Decobase products are manufactured by Unicell International sp. z o.o.  located at Supraslska 25  16-010 Wasilkow  Poland. Their contact email is shop@primacol.com.
What is the finish of the Metaliq Gold product?,The Metaliq Gold product provides a shiny  metallic finish on the walls.
How long does it take to apply the different colors of the Metaliq product?,It takes about three days to apply the different colors.
How long does it take to receive my order in the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
How do I clean the tools used for the Metaliq product?,The cleaning of tools for the Metaliq product is done with water and detergent.
How did the final result compare to the online picture?,The result turned out a bit different from the picture online  but the customer is still very happy.
How does Metaliq paint transform interior spaces?,Metaliq paint goes beyond mere wall transformation - it opens new horizons in interior design.
What is included in the Metaliq decorative paint kit?,The Metaliq decorative paint kit includes Decobase paint  Metaliq Paste  and Metaliq Top.
Can the customer add their personal touch to the Metaliq product?,Yes  the customer can add their personal touch by varying the structure of the paste.
Where should the Metaliq products be kept?,The Metaliq products should be kept out of reach of children.
How much does shipping cost?,Shipping price depends on the weight of the shipment and is shown in the shopping cart after entering the delivery address.
How easy is the Metaliq product to apply?,According to customer reviews  the Metaliq product is easy to apply.
Where can I view the Metaliq Colour Card?,You can view the Metaliq Colour Card at the following links: Metaliq Colour Card Metaliq Colour Card
What is the customer rating for the Metaliq product?,Customers recommend the Metaliq product  as indicated by the high rating of 95.5 out of 100.
What happens if my order value exceeds £135?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations states that import tax and customs duties applies at the UK border. This means that when placing an order  you will only pay the net value of the order (0% VAT)  we will not charge you tax and duty. The carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
Can the estimated delivery times change?,Yes  the estimated delivery times provided are subject to change due to unforeseen events beyond our control.
What happens if my order value is below £135?,If the order value is below £135  then all fees are paid right away when placing the order.
What is the drying time for the Metaliq product?,The drying time for the Metaliq product is 24h.
What tools are required to use the Metaliq product?,The tools you need for the Metaliq product are: Stainless Steel Trowel - €14 90 (Sold out) Paint Roller Set - €14 90 (Sold out)
What products are included in the Metaliq Kit?,The Metaliq Kit includes the following products: Metaliq Paste  Metaliq Top  and Decobase.
How much does the Metaliq Colour Card cost?,The Metaliq Colour Card costs €2.99.
What is the coverage of the Metaliq product?,The coverage of the Metaliq product is ±10 m²/set.
What surfaces can the Metaliq product be used on?,The Metaliq product can be used to decorate walls  as mentioned in the customer reviews.
How should the Metaliq products be disposed of?,The products should not be disposed of into the sewage system  and the contents/containers should be disposed of in a licensed waste disposal facility.
How long does it take to receive my order in the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
How can I learn how to use the Primacol Concrete Effect Paint Kit to create a unique concrete-like effect on my walls?,Watch the WATCH TUTORIAL video to see how to create this stunning effect and make your wall one of a kind!
What types of decorative effects can be achieved with Primacol's Concrete Effect Paint?,Concrete Effect Paint allows for obtaining various decorative effects  depending on the application method and the painter's imagination. From a smooth finish through the effect of imitating architectural concrete slabs to raw concrete with characteristic roughness and pitting. It works very well in the modern interiors of public and residential buildings  especially those arranged in an industrial style. It perfectly matches wood  glass  and metal.
How can I ensure accurate perception of the color and texture of the Primacol Concrete Effect Paint Kit?,To ensure accurate perception of color and texture  it is advised to order a color chart in advance  as colors displayed on your screen can be influenced by individual display settings.
How long does it take for my order to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
What is the coverage of the Primacol Concrete Effect Paint Kit?,The Primacol Concrete Effect Paint Kit has a coverage of approximately 4 m²/set.
Who is the manufacturer of the Primacol's Concrete Effect Paint Kit?,The manufacturer of the Primacol's Concrete Effect Paint Kit is Unicell International sp. z o.o.  located at Supraslska 25  16-010 Wasilkow  Poland.
What are the key features of Primacol's Concrete Effect Paint Kit?,"The product has a great coverage and is very forgiving to use. It also provides an ""absolutely unique result"" and a ""great effect"" according to customer reviews."
What color options are available for the Primacol Concrete Effect Paint Kit?,The Primacol Concrete Effect Paint Kit comes in the following colors: Broad Peak  Elbrus  Mont Blanc  and Mount Everest.
What is the unique feature of Primacol's Concrete Paint product?,Primacol's Concrete Paint product has a unique and modern look that transforms the living room into a real eye-catcher.
How long does it take to receive my order outside of Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
What is the first step in applying Primacol's Concrete Effect Paint?,"Apply at least one layer of priming agent ""Kontakt"" Primer using a paint roller. It contains quartz sand  thanks to which the obtained coat is rough  which significantly increases the Concrete paint adherence. Leave the prepared surface to dry for about 12 hours."
How many layers are required when using the Primacol Concrete Effect Paint Kit?,The Primacol Concrete Effect Paint Kit requires 4 layers to achieve the desired concrete-like effect.
How much does the Concrete Effect Paint Colour Card cost?,The Concrete Effect Paint Colour Card costs €2.99.
What is the application process for Primacol's Concrete Paint product?,The application of the product requires some effort and patience  but after a short familiarization  it can be well implemented. It is important to work in small sections and take the time to achieve the best results.
What was the customer service experience like for Melvyn Hylton?,Melvyn Hylton had a positive experience with the customer service representative  Kasia  who provided advice and helped with application issues.
What tools are included in the Primacol Concrete Effect Paint Kit?,The Primacol Concrete Effect Paint Kit includes a paint roller set  a plastic trowel  and a venetian trowel. Additional tools  such as a stainless steel trowel and a brush  can be purchased separately. buy here  buy here
What are the hazards associated with the Lacquier product?,The Lacquier product contains C(M)IT/MIT (3:1)  reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1)  and 1 2-benzisothiazol-3(2H)-one  which may produce an allergic reaction. It has a VOC limit of 30 g/l  with the product containing a maximum of 20 g/l. There is a warning that hazardous respirable droplets may be formed when sprayed  and the product should not be breathed in. The product should not be entered into the sewage system  and the contents/container should be disposed of in a licensed waste disposal facility. The product should be kept out of reach of children.
What is the final step in the application process for Primacol's Concrete Effect Paint?,Once the surface is dry  clean it with a brush to remove any loose paint residue. Then  apply Primacol Decorative varnish with a brush or a roller. When applying the varnish  be very careful not to leave stains that will negatively affect the final visual effect.
How much area can one set of Primacol's Concrete Effect Paint cover?,One set is sufficient to cover approximately 4m² of a wall's surface.
What is the contact phone number for Unicell International sp. z o.o.?,The contact phone number for Unicell International sp. z o.o. is +48 667 950 839.
What is included in the Concrete Effect Paint Kit?,The Concrete Effect Paint Kit includes a primer  concrete effect paint  and varnish.
How long does it take to receive my large order that requires pallet shipping?,For large orders requiring pallet shipping  the standard delivery time may extend by approximately 2 days.
Can Primacol's Concrete Effect Paint be used on gypsum surfaces?,"No  the Concrete Effect Paint does not tolerate gypsum. For gypsum plaster or any surface containing gypsum  e.g.  repaired with gypsum putty  it is necessary to apply two coats of ""Kontakt"" Primer to isolate the surface."
Can the estimated delivery times change?,Yes  the estimated delivery times provided are subject to change due to unforeseen events beyond our control.
Where can I find the Safety Data Sheet (SDS) for the Concrete Effect Paint product?,The Safety Data Sheet (SDS) for the Concrete Effect Paint product is available at SDS.
What are the options for achieving different visual effects with Primacol's Concrete Effect Paint?,After the first coat of Concrete Effect Paint has dried  apply a second coat of paint  spreading it with a roller and wiping wet with a plastic trowel. If you want to achieve a characteristic pitting effect  leave small holes in some places. If you want the surface to be smooth  apply the paint evenly. You can also use a decorative stencil and create a pattern at this stage.
How much patience is required to achieve the best results with Primacol's Concrete Paint product?,With a little patience  the effort is rewarded when using Primacol's Concrete Paint product.
What shipping carriers do you use?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
What are the benefits of using Primacol's Concrete Effect Paint?,Concrete Effect Paint is great for covering up minor wall irregularities and other imperfections.
Where can I find the instruction manual for the Concrete Effect Paint product?,The instruction manual for the Concrete Effect Paint product is available at Instruction.
How long does the Primacol Concrete Effect Paint Kit take to dry?,The Primacol Concrete Effect Paint Kit has a drying time of 24 hours  but this may be extended due to environmental conditions.
What is the email address of the responsible person at Unicell International sp. z o.o.?,The email address of the responsible person at Unicell International sp. z o.o. is shop@primacol.com.
How long does it take to receive my order within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
What is the price of the Primacol's Concrete Effect Paint Kit?,The Primacol's Concrete Effect Paint Kit costs €89.00.
How should Primacol's Concrete Effect Paint be mixed before use?,Mix the Concrete Effect Paint product thoroughly with a mechanical mixer before use.
How does the Primacol Concrete Paint product perform when used in combination with other Primacol products?,The product is especially impressive in combination with Polaris Black Carbon and Silversand products  making the living room almost unrecognizable.
What happens if my order value exceeds £135?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations state that import tax and customs duties apply at the UK border. This means that when placing the order  you will only pay the net value of the order (0% VAT)  and the carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
What are the hazards associated with the Concrete Effect Paint product?,The Concrete Effect Paint product causes skin irritation and serious eye damage. It should be kept out of reach of children. Protective gloves  clothing  eye  and face protection should be worn. If the product gets in the eyes  it should be rinsed cautiously with water for several minutes  and contact lenses should be removed if present and easy to do. If the product gets on the skin  it should be washed with plenty of water. The contents/container should be disposed of to an authorized local waste disposal company in accordance with applicable regulations. The product contains calcium hydroxide and has a VOC limit of 200 g/l  with the product containing less than 200 g/l. The UFI is 3D10-10Q1-Q00A-ESNU.
What type of product is the Concrete Effect Paint Kit?,The Concrete Effect Paint Kit is a decorative paint DIY kit.
What tools are needed to apply Primacol's Concrete Effect Paint and varnish?,Tools needed: 2 x paint roller (for paint and varnish)
What is the price per kilogram of the Primacol's Concrete Effect Paint Kit?,The price of the Primacol's Concrete Effect Paint Kit is €8.90/kg.
What are the hazards associated with the Contact Primer product?,The Contact Primer product contains C(M)IT/MIT (3:1)  reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1)  and 1 2-benzisothiazol-3(2H)-one  which may produce an allergic reaction. It should not be entered into the sewage system  and the contents/container should be disposed of in a licensed waste disposal facility. The product should be kept out of reach of children.
How do I clean the tools used with the Primacol Concrete Effect Paint Kit?,The tools used with the Primacol Concrete Effect Paint Kit can be cleaned with water.
How should the final surface be smoothed after applying Primacol's Concrete Effect Paint?,After about 15-20 minutes  check if the paint is dry enough not to stick to the tools. Take a Venetian trowel and  applying it flat  smooth the entire decorated surface with circular movements.
How should Primacol's Concrete Effect Paint be applied?,Apply Concrete paint with a paint roller in stages  working on an area of max 1 m² at a time. After painting each section  smooth the surface with a plastic trowel  using circular movements. Repeat this process until the entire surface is covered and leave the wall to dry for about 24 hours.
What is the coverage area of the Primacol Concrete Effect Paint Kit?,The Primacol Concrete Effect Paint Kit can cover up to 4 square meters of wall surface.
Where can I find the Technical Data Sheet (TDS) for the Concrete Effect Paint product?,The Technical Data Sheet (TDS) for the Concrete Effect Paint product is available at TDS.
What is required to use this website?,Agreement to the Terms of Service and Privacy Policy is required.
How should the surface be prepared before applying Primacol's Concrete Effect Paint?,The substrate should be clean  dry  degreased and stable. Remove paint and plaster residues and other layers that are not bonded to the substrate  and patch any gaps.
What Concrete Effect Paint Colour Cards are available?,You can view the Concrete Effect Paint Colour Card and the Concrete Effect Paint Colour Card.
What do customers think about Primacol's Concrete Effect Paint Kit?,"Customers have had very positive experiences with the product. Melvyn Hylton  a first-time user  found the product ""great to use"" and plans to use it for bigger projects and try the moonlight paint effect. Another customer  Eugen Diesendorf  had a great experience and even tried making patterns with the product  which worked well. Heiko Glende also found the product to have an ""absolutely unique result"" and a ""great effect""."
How long should the wall be left to dry after applying the varnish?,Leave the wall to dry for at least 24 hours after applying the varnish.
What is included in a Primacol's Concrete Effect Paint kit?,One kit consists of a bucket of Concrete Effect Paint  along with the appropriate amounts of Varnish and Contact Primer needed to paint the specified area.
How much wall surface can the Primacol's Concrete Effect Paint Kit cover?,The Primacol's Concrete Effect Paint Kit can cover up to 4m² of wall surface.
What is Primacol's Concrete Effect Paint Kit?,Primacol's Concrete Effect Paint Kit is a product that allows users to create a unique concrete-like effect on their walls.
How is the Polaris paint sold?,The Polaris paint is sold in a ready-to-use kit that includes Decobase paint and Polaris paint.
Who is the manufacturer of the Polaris product?,The manufacturer of the Polaris product is Unicell International sp. z o.o.
How do I clean the tools used with the Polaris decorative paint kit?,The tools used with the Polaris decorative paint kit  such as the paint roller and venetian trowel  can be cleaned with water and detergent.
What do customers think about the Polaris product?,Customers are obsessed with the Polaris product and love the finish. They find the product easy to use  even though it may look difficult  and the instructions are very clear. The product covers what it says it will  even though it may not look like it will. Customers would order the Polaris product again and recommend it.
Where can I find the Safety Data Sheets (SDS) for the Polaris and Decobase products?,The Safety Data Sheets (SDS) for the Polaris and Decobase products are available at [SDS Polaris ] [SDS Decobase].
How should I prepare the surface before applying the Polaris decorative paint?,The substrate should be clean  degreased  even  stable and uncracked. Surfaces that are highly absorbent (e.g. fresh plaster)  or those that are not equally absorbent  should first be primed with a suitable primer  such as PRIMACOL® DECORATIVE primer.
How long does it take to receive my order in the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
How many layers are required when applying the Polaris decorative paint kit?,The Polaris decorative paint kit requires 2 layers of application.
What is the phone number of the Polaris product manufacturer?,The phone number of the Polaris product manufacturer is +48 667 950 839.
What are the steps for applying the Polaris decorative paint?,"The first step is to paint the surface with Decobase paint  which will create a base coat similar to the effect's color  reduce the consumption of Polaris  and ensure the best possible final result. When dry  the wall should be gently sanded with fine sandpaper and dusted off afterwards.  The second step is to thoroughly stir the contents of the Polaris bucket  then start applying the product from the top corner of the wall and move diagonally  extending the decorated surface. The product should be applied with a venetian trowel  spreading it in different directions. Small areas should be worked on at a time using the ""wet-on-wet"" method  and the thickness of the applied layer should not exceed 1 mm.  Before the surface dries completely  it should be smoothed with the edge of a clean venetian trowel in different directions. This will emphasize the Polaris effect  especially the satin reflections.  The process should be repeated until the desired decorative effect is achieved  and the wall should be left for at least 24 hours until completely dry.  If necessary  a second coat of Polaris paint can be applied  starting from the top of the wall but from the opposite corner."
What are the hazardous ingredients in the Decobase product?,The Decobase product contains the following hazardous ingredients: C(M)IT/MIT (3:1)  reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1)  and 1 2-benzisothiazol-3(2H)-one. These ingredients may produce an allergic reaction.
What is the Polaris product?,The Polaris product is a decorative paint finish offered by the company Primacol.
Where can I find the Technical Data Sheet (TDS) for the Polaris product?,The Technical Data Sheet (TDS) for the Polaris product is available at [TDS Polaris ].
